grid_point,N_poses,Emin_kcal,Z,Boltz_mean_Eint_corr_kcal,Boltz_std_kcal,pose_probs
gp70,8,-4.446477007492831,3.9999999729784927,-4.446477003490372,3.6886396504971605e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp71,8,-4.446477004820736,3.99999998188179,-4.446477002137044,3.4729433822423687e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp72,8,-4.446477007496469,3.9999999729554667,-4.4464770034906,3.6905323537316917e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp73,8,-4.446477004824374,3.999999981857229,-4.446477002137044,3.4732813411609157e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp74,8,-4.4464770074955595,3.999999972967747,-4.446477003491509,3.6911326527773336e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp75,8,-4.446477004819826,3.99999998188486,-4.446477002136589,3.471712852964352e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp76,8,-4.4464770074955595,3.9999999729662123,-4.446477003491282,3.6908354219856015e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp77,8,-4.446477004824374,3.9999999818618344,-4.446477002137726,3.4736189472011756e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp78,8,-4.446477003762993,3.999999980001352,-4.446477000800769,2.962068295795335e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp79,8,-4.446477003763903,3.999999979995212,-4.446477000800769,2.9620684354217004e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp80,8,-4.446477003762993,3.9999999799967467,-4.446477000800087,2.961841067240418e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
